resource	accession	actual_use_in_code	claimed_use_in_manuscript	corrected_role	included_in_score	included_in_validation	double_counting_risk	required_revision
Single-cell RNA-sequencing of fibrous membranes from PDR/PVR	GSE165784	Ranking input	Transcriptomic evidence	Ranking input	True	False	low	PDR FVM scRNA summaries used for lesion-compartment context; PVR/non-PDR samples cannot be called ranking input unless explicitly used
Single-cell transcriptomic analysis of PDR fibrovascular membranes reveals AEBP1	GSE245561	Ranking input	Transcriptomic evidence	Ranking input	True	False	low	PDR FVM scRNA summaries used for lesion-compartment context; PVR/non-PDR samples cannot be called ranking input unless explicitly used
Single-cell transcriptomic analysis of human retina and RPE/choroid	GSE203499	Cell-annotation reference	Transcriptomic evidence	Cell-annotation reference	False	False	low	normal/AMD atlas context only; not PDR ranking input
Human Retina Cell Atlas v1.0	HCA-HRCA-v1.0	Cell-annotation reference	Transcriptomic evidence	Cell-annotation reference	False	False	low	normal/AMD atlas context only; not PDR ranking input
Induced Expression of VEGFC, ANGPT, and EFNB2 and their receptors in PDR	GSE102485	Ranking input	Transcriptomic evidence	Ranking input	True	False	low	bulk evidence contributes to ranking and support; not independent validation when used in ranking
Gene Expression Profile of Fibrovascular Membrane Associated with PDR	GSE60436	Ranking input	Transcriptomic evidence	Ranking input	True	False	low	bulk evidence contributes to ranking and support; not independent validation when used in ranking
Transcriptomic analysis of CD31+ endothelial cells from PDR FVM	GSE94019	Ranking input	Transcriptomic evidence	Ranking input	True	False	low	bulk evidence contributes to ranking and support; not independent validation when used in ranking
In-depth transcriptomic analysis of human retina DR totalRNA	GSE160306	Ranking input	Transcriptomic evidence	Ranking input	True	False	low	bulk evidence contributes to ranking and support; not independent validation when used in ranking
Small RNA subseries from DR retina study	GSE160308	Excluded from final analysis	Transcriptomic evidence	Excluded from final analysis	False	False	low	small RNA not used in final four-layer ranking
SuperSeries for DR retinal totalRNA and smallRNA	GSE160310	Excluded from final analysis	Transcriptomic evidence	Excluded from final analysis	False	False	high if counted with GSE160306	SuperSeries/navigation only; avoid duplicate counting
Diabetic Retinopathy Analysis Challenge 2022	DRAC2022	Contextual annotation	Imaging context	Contextual annotation	False	False	low	keep as contextual/resource metadata
Retinal OCT-Angiography Diabetic Retinopathy Dataset	ROAD	Contextual annotation	Imaging context	Contextual annotation	False	False	low	keep as contextual/resource metadata
Optical Coherence Tomography Angiography image dataset for DR detection	Zenodo_OCTA_DR_10400092	Contextual annotation	Imaging context	Contextual annotation	False	False	low	keep as contextual/resource metadata
Comprehensive AH proteomic profiling in PDR	TVST_AH_Proteomics_2021	Contextual annotation	Protein evidence	Contextual annotation	False	False	low	protein matrix is contextual; no candidate met FDR<0.05
Vitreous Olink proteomics in PDR	JPR_Olink_Vitreous_2025	Contextual annotation	Context or metadata support	Contextual annotation	False	False	low	protein matrix is contextual; no candidate met FDR<0.05
Validated mass-spectrometry vitreous proteomics pipeline in PDR	ClinicalProteomics_2021	Contextual annotation	Context or metadata support	Contextual annotation	False	False	low	protein matrix is contextual; no candidate met FDR<0.05
Proteomic analysis of aqueous humor across DR stages	PXD058481	Contextual annotation	Protein evidence	Contextual annotation	False	False	low	protein matrix is contextual; no candidate met FDR<0.05
DIA aqueous humor proteomics in nAMD, PDR and cataract controls	PXD068217	Contextual annotation	Protein evidence	Contextual annotation	False	False	low	protein matrix is contextual; no candidate met FDR<0.05
Quantitative proteomic analysis of vitreous from PDR using SWATH-MS	PXD073005	Contextual annotation	Protein evidence	Contextual annotation	False	False	low	protein matrix is contextual; no candidate met FDR<0.05
FinnGen diabetic retinopathy endpoint	FinnGen_DM_RETINOPATHY	Ranking input	Genetic/regulatory evidence	Ranking input	True	False	low	FinnGen nearest/window association-level annotation; nearest gene is not causal assignment
FinnGen proliferative diabetic retinopathy endpoint	FinnGen_PDR_E4_DMPROLIF	Ranking input	Genetic/regulatory evidence	Ranking input	True	False	low	FinnGen nearest/window association-level annotation; nearest gene is not causal assignment
GWAS for diabetic macular edema and proliferative diabetic retinopathy	Graham_2018_PDR_DME_GWAS	Contextual annotation	Genetic/regulatory evidence	Contextual annotation	False	False	low	keep as contextual/resource metadata
Eye Genotype Expression retina eQTL	EyeGEx	Ranking input	Genetic/regulatory evidence	Ranking input	True	False	low	retina TWAS endpoint-level association; not colocalization
Mega-analysis of retinal tissue eQTL	Retina_eQTL_Meta_2020	Contextual annotation	Genetic/regulatory evidence	Contextual annotation	False	False	low	keep as contextual/resource metadata
GTEx v8 multi-tissue eQTL	GTEx_v8	Contextual annotation	Genetic/regulatory evidence	Contextual annotation	False	False	low	keep as contextual/resource metadata
Final JTM figure source data	project results/jtm_final/figure_source_data	Contextual annotation	figure regeneration and audit trail	Contextual annotation	False	False	low	keep as contextual/resource metadata
